
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-5.38986397e+00, 1.19735527e+01, 1.01503059e-01, 1.43011274e+01
-6.77947617e+00, 1.11635427e+01, 1.01503059e-01, 1.44328442e+01
-5.47698355e+00, 9.93571472e+00, 1.01503059e-01, 1.42795353e+01
-3.30783987e+00, 1.22796621e+01, 1.01503059e-01, 1.40455322e+01
-1.51332617e+00, 1.18352737e+01, 1.01503059e-01, 1.35509844e+01
-1.57026255e+00, 1.31986198e+01, 1.01503059e-01, 1.35264654e+01
1.08161373e+01, -1.72059488e+00, 1.01503059e-01, 1.42442541e+01
1.09289551e+01, -1.88090479e+00, 1.01503059e-01, 1.42328615e+01
1.10161028e+01, -1.71909976e+00, 1.01503059e-01, 1.42412367e+01
7.04121304e+00, 1.11224499e+01, 1.01503059e-01, 1.39749317e+01
8.71638489e+00, 1.09611921e+01, 1.01503059e-01, 1.42739000e+01
8.26016808e+00, 1.29702644e+01, 1.01503059e-01, 1.41236963e+01
-2.10188851e-01, 3.31256127e+00, 1.01503059e-01, 1.43658581e+01
3.45787734e-01, 3.59254766e+00, 1.01503059e-01, 1.43230906e+01
-3.09087951e-02, 3.83916306e+00, 1.01503059e-01, 1.42947865e+01
4.26649004e-01, -2.96275198e-01, 1.01503059e-01, 1.49678364e+01
4.39754635e-01, -3.14439029e-01, 1.01503059e-01, 1.49678335e+01
4.44353998e-01, -2.95459807e-01, 1.01503059e-01, 1.50237989e+01
1.20211945e+01, 6.40218377e-01, 1.01503059e-01, 1.43693867e+01
1.19866962e+01, 5.87839067e-01, 1.01503059e-01, 1.43663616e+01
1.20378428e+01, 5.82120240e-01, 1.01503059e-01, 1.43664932e+01
1.21860466e+01, 4.91272062e-01, 1.01503059e-01, 1.43589067e+01
1.22206059e+01, 4.81085032e-01, 1.01503059e-01, 1.43589706e+01
1.21932325e+01, 5.20694852e-01, 1.01503059e-01, 1.43631058e+01
-1.47227252e+00, -8.93830061e-01, 1.01503059e-01, 1.43121052e+01
-1.53392982e+00, -7.94326544e-01, 1.01503059e-01, 1.43144550e+01
-1.59507108e+00, -9.04552698e-01, 1.01503059e-01, 1.43350735e+01
1.18232841e+01, 4.24880207e-01, 1.01503059e-01, 1.43363352e+01
1.18391628e+01, 4.27673221e-01, 1.01503059e-01, 1.43372736e+01
1.18304014e+01, 4.43076462e-01, 1.01503059e-01, 1.43412180e+01
1.19817524e+01, 3.63010377e-01, 1.01503059e-01, 1.43180780e+01
1.20025015e+01, 3.63666177e-01, 1.01503059e-01, 1.43188419e+01
1.19913225e+01, 3.85608584e-01, 1.01503059e-01, 1.43251543e+01
1.15732489e+01, -5.67343116e-01, 1.01503059e-01, 1.43268461e+01
1.15519276e+01, -5.64609408e-01, 1.01503059e-01, 1.43268318e+01
1.15621243e+01, -5.86877525e-01, 1.01503059e-01, 1.43252420e+01
7.11094999e+00, 7.97256112e-01, 1.01503059e-01, 1.36896009e+01
7.21466398e+00, 7.82157362e-01, 1.01503059e-01, 1.37931471e+01
